,0,1,2,3,4,5,6,7,8,9
0,5679.0,0.0,7.0,0.0,6.0,23.0,166.0,2.0,37.0,3.0
1,1.0,6426.0,53.0,18.0,7.0,18.0,29.0,10.0,170.0,10.0
2,13.0,17.0,5400.0,11.0,53.0,26.0,247.0,42.0,134.0,15.0
3,5.0,3.0,165.0,5069.0,3.0,348.0,86.0,68.0,349.0,35.0
4,1.0,8.0,2.0,1.0,5383.0,11.0,132.0,25.0,38.0,241.0
5,13.0,13.0,47.0,114.0,64.0,4805.0,243.0,17.0,66.0,39.0
6,14.0,7.0,43.0,0.0,20.0,108.0,5661.0,0.0,63.0,2.0
7,6.0,9.0,58.0,1.0,50.0,4.0,40.0,5846.0,81.0,170.0
8,14.0,23.0,22.0,16.0,15.0,308.0,158.0,9.0,5248.0,38.0
9,5.0,6.0,3.0,70.0,55.0,28.0,75.0,110.0,47.0,5550.0
